Player,Year,Rd,Overall,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Immanuel Quickley,2020,1,25,2021,2023,223.0,5389.0,932.0,2240.0,423.0,1153.0,535.0,623.0,114.0,721.0,681.0,164.0,29.0,257.0,447.0,2822.0,.416,.367,.859,24.2,12.7,3.2,3.1
Dirk Minniefield,1983,2,33,1986,1988,222.0,3801.0,493.0,1050.0,25.0,92.0,176.0,238.0,102.0,367.0,845.0,196.0,11.0,358.0,472.0,1187.0,.470,.272,.739,17.1,5.3,1.7,3.8
Mike Flynn,1975,7,113,1976,1978,211.0,3376.0,536.0,1279.0,25.0,99.0,220.0,350.0,186.0,437.0,454.0,142.0,25.0,156.0,270.0,1317.0,.419,,.629,16.0,6.2,2.1,2.2
Tyrese Maxey,2020,1,21,2021,2023,196.0,5601.0,1120.0,2337.0,323.0,781.0,454.0,529.0,60.0,520.0,653.0,130.0,53.0,209.0,367.0,3017.0,.479,.414,.858,28.6,15.4,2.7,3.3
Joe Holland,1948,2,,1950,1952,186.0,737.0,434.0,1312.0,,,216.0,348.0,,510.0,327.0,,,,538.0,1084.0,.331,,.621,13.4,5.8,4.2,1.8
DeAndre Liggins,2011,2,53,2012,2018,177.0,1907.0,129.0,321.0,43.0,122.0,45.0,82.0,47.0,252.0,122.0,108.0,31.0,86.0,201.0,346.0,.402,.352,.549,10.8,2.0,1.4,0.7
Kenny Rollins,1948,3,,1949,1953,168.0,426.0,326.0,1056.0,,,165.0,220.0,,45.0,344.0,,,,342.0,817.0,.309,,.750,9.9,4.9,1.0,2.0
Archie Goodwin,2013,1,29,2014,2017,165.0,2396.0,367.0,856.0,45.0,191.0,261.0,373.0,86.0,331.0,206.0,69.0,38.0,206.0,192.0,1040.0,.429,.236,.700,14.5,6.3,2.0,1.2
Lou Tsioropoulos,1953,7,,1957,1959,157.0,2977.0,337.0,1070.0,,,236.0,329.0,,751.0,165.0,,,,451.0,910.0,.315,,.717,19.0,5.8,4.8,1.1
Jack Givens,1978,1,16,1979,1980,156.0,2601.0,416.0,1037.0,0.0,2.0,208.0,263.0,212.0,456.0,142.0,123.0,36.0,134.0,253.0,1040.0,.401,,.791,16.7,6.7,2.9,0.9
Mark Pope,1996,2,52,1998,2005,153.0,1634.0,116.0,289.0,10.0,56.0,43.0,75.0,92.0,261.0,63.0,32.0,45.0,47.0,242.0,285.0,.401,.179,.573,10.7,1.9,1.7,0.4
Cliff Barker,1949,5,,1950,1952,149.0,494.0,201.0,637.0,,,155.0,234.0,,181.0,294.0,,,,253.0,557.0,.316,,.662,11.2,3.7,1.8,2.0
Skal Labissière,2016,1,28,2017,2020,148.0,2595.0,429.0,872.0,30.0,85.0,181.0,242.0,224.0,662.0,152.0,53.0,99.0,151.0,314.0,1069.0,.492,.353,.748,17.5,7.2,4.5,1.0
Johnny Cox,"1958, 1959","4, 4","28, 30",1963,1963,146.0,3370.0,478.0,1136.0,,,190.0,270.0,,560.0,284.0,,,,298.0,1146.0,.421,,.704,23.1,7.8,3.8,1.9
Andrew Harrison,2015,2,44,2017,2019,145.0,2987.0,314.0,842.0,95.0,323.0,289.0,371.0,52.0,287.0,399.0,95.0,49.0,178.0,366.0,1012.0,.373,.294,.779,20.6,7.0,2.0,2.8
