Player,Year,Rd,Overall,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Mason Plumlee,2013,1,22,2014,2023,740.0,16823.0,2508.0,4214.0,2.0,41.0,1323.0,2332.0,1590.0,5078.0,1856.0,549.0,639.0,1104.0,2063.0,6341.0,.595,.049,.567,22.7,8.6,6.9,2.5
Austin Rivers,2012,1,10,2013,2023,707.0,16858.0,2214.0,5289.0,789.0,2260.0,779.0,1193.0,222.0,1442.0,1513.0,494.0,112.0,732.0,1479.0,5996.0,.419,.349,.653,23.8,8.5,2.0,2.1
Kyrie Irving,2011,1,1,2012,2023,671.0,23045.0,5778.0,12237.0,1559.0,3983.0,2597.0,2936.0,534.0,2643.0,3834.0,882.0,286.0,1726.0,1557.0,15712.0,.472,.391,.885,34.3,23.4,3.9,5.7
Dahntay Jones,2003,1,20,2004,2017,624.0,9799.0,1203.0,2739.0,107.0,325.0,840.0,1118.0,252.0,1082.0,529.0,261.0,144.0,507.0,1206.0,3353.0,.439,.329,.751,15.7,5.4,1.7,0.8
Chris Duhon,2004,2,38,2005,2013,606.0,15526.0,1353.0,3440.0,649.0,1788.0,591.0,754.0,200.0,1364.0,2690.0,471.0,36.0,925.0,965.0,3946.0,.393,.363,.784,25.6,6.5,2.3,4.4
Johnny Dawkins,1986,1,10,1987,1995,541.0,14859.0,2361.0,5175.0,180.0,545.0,1082.0,1262.0,333.0,1336.0,2997.0,618.0,29.0,1108.0,837.0,5984.0,.456,.330,.857,27.5,11.1,2.5,5.5
Gerald Henderson,2009,1,12,2010,2017,535.0,13854.0,2249.0,5111.0,249.0,762.0,1240.0,1564.0,314.0,1716.0,1009.0,358.0,183.0,639.0,930.0,5987.0,.440,.327,.793,25.9,11.2,3.2,1.9
Tyus Jones,2015,1,24,2016,2023,535.0,10317.0,1401.0,3215.0,420.0,1176.0,408.0,501.0,131.0,999.0,2108.0,527.0,39.0,400.0,410.0,3630.0,.436,.357,.814,19.3,6.8,1.9,3.9
Cherokee Parks,1995,1,12,1996,2004,472.0,7459.0,868.0,1848.0,8.0,38.0,312.0,495.0,564.0,1703.0,265.0,207.0,306.0,281.0,931.0,2056.0,.470,.211,.630,15.8,4.4,3.6,0.6
Gene Banks,1981,2,28,1982,1987,468.0,13074.0,2134.0,3961.0,2.0,46.0,1035.0,1418.0,1009.0,2718.0,1335.0,436.0,101.0,835.0,1289.0,5305.0,.539,.043,.730,27.9,11.3,5.8,2.9
Rodney Hood,2014,1,23,2015,2022,448.0,10977.0,1688.0,4023.0,647.0,1770.0,633.0,753.0,158.0,1160.0,736.0,301.0,80.0,426.0,855.0,4656.0,.420,.366,.841,24.5,10.4,2.6,1.6
Jayson Tatum,2017,1,3,2018,2023,439.0,14911.0,3455.0,7538.0,1067.0,2844.0,1888.0,2230.0,397.0,3069.0,1448.0,488.0,303.0,992.0,930.0,9865.0,.458,.375,.847,34.0,22.5,7.0,3.3
Josh McRoberts,2007,2,37,2008,2018,433.0,8271.0,914.0,1972.0,196.0,576.0,309.0,438.0,468.0,1686.0,901.0,222.0,194.0,381.0,817.0,2333.0,.463,.340,.705,19.1,5.4,3.9,2.1
Randy Denton,1971,4,61,1972,1977,413.0,10184.0,2035.0,4303.0,3.0,14.0,676.0,868.0,1200.0,3547.0,528.0,135.0,126.0,581.0,1058.0,4749.0,.473,,.779,24.7,11.5,8.6,1.3
Brandon Ingram,2016,1,2,2017,2023,413.0,13618.0,2873.0,6191.0,558.0,1535.0,1620.0,2067.0,301.0,2142.0,1674.0,292.0,229.0,1036.0,1008.0,7924.0,.464,.364,.784,33.0,19.2,5.2,4.1
Shelden Williams,2006,1,5,2007,2012,361.0,5586.0,590.0,1276.0,2.0,9.0,436.0,589.0,529.0,1562.0,163.0,179.0,164.0,304.0,733.0,1618.0,.462,.222,.740,15.5,4.5,4.3,0.5
