district,candidate,party,total_votes,won
Illinois’s 16th district, Write-ins,WRI,168,False
Illinois’s 17th district,Cheri Bustos,DEM,153947,True
Illinois’s 17th district,Esther Joy King,REP,142621,False
Illinois’s 18th district,Darin LaHood,REP,258047,True
Illinois’s 18th district,George Petrilli,DEM,107937,False
Indiana’s 1st district,Frank Mrvan,DEM,184906,True
Indiana’s 1st district,Mark Leyva,REP,132106,False
Indiana’s 1st district,Michael Strauss,LIB,9515,False
Indiana’s 2nd district,Jackie Walorski,REP,181615,True
Indiana’s 2nd district,Patricia Hackett,DEM,114024,False
Indiana’s 3rd district,Jim Banks,REP,220944,True
Indiana’s 3rd district,Chip Coldiron,DEM,104729,False
Indiana’s 4th district,Jim Baird,REP,224749,True
Indiana’s 4th district,Joe Mackey,DEM,112589,False
Indiana’s 5th district,Victoria Spartz,REP,208085,True
Indiana’s 5th district,Christina Hale,DEM,191004,False
Indiana’s 5th district,Ken Tucker,LIB,16767,False
Indiana’s 6th district,Greg Pence,REP,225009,True
Indiana’s 6th district,Jeannine Lake,DEM,90884,False
Indiana’s 6th district,Tom Ferkinhoff,LIB,11767,False
Indiana’s 7th district,Andre Carson,DEM,176057,True
Indiana’s 7th district,Susan Smith,REP,105966,False
Indiana’s 8th district,Larry Bucshon,REP,214588,True
Indiana’s 8th district,Thomasina Marsili,DEM,95627,False
Indiana’s 8th district,James Rodenberger,LIB,10273,False
Indiana’s 9th district,Trey Hollingsworth,REP,221952,True
Indiana’s 9th district,Andy Ruff,DEM,122510,False
Indiana’s 9th district,Tonya Millis,LIB,14404,False
Iowa’s 1st district,Ashley Hinson,REP,211767,True
Iowa’s 1st district,Abby Finkenauer,DEM,200964,False
Iowa’s 2nd district,Mariannette Miller-Meeks,REP,196860,True
Iowa’s 2nd district,Rita Hart,DEM,196812,False
Iowa’s 3rd district,Cindy Axne,DEM,219198,True
Iowa’s 3rd district,David Young,REP,212988,False
Iowa’s 3rd district,Bryan Holder,LIB,15361,False
Iowa’s 4th district,Randy Feenstra,REP,237162,True
Iowa’s 4th district,J.D. Scholten,DEM,144539,False
Kansas’s 1st district,Tracey Mann,REP,204275,True
Kansas’s 1st district,Kali Barnett,DEM,81561,False
Kansas’s 2nd district,Jake LaTurner,REP,182145,True
Kansas’s 2nd district,Michelle De La Isla,DEM,133354,False
Kansas’s 2nd district,Robert Garrard,LIB,13754,False
Kansas’s 3rd district,Sharice Davids,DEM,212604,True
Kansas’s 3rd district,Amanda Adkins,REP,174163,False
Kansas’s 3rd district,Steven Hohe,LIB,11119,False
Kansas’s 4th district,Ron Estes,REP,197433,True
Kansas’s 4th district,Laura Lombard,DEM,110922,False
Kentucky’s 1st district,James Comer,REP,246245,True
Kentucky’s 1st district,James Rhodes,DEM,82238,False
